# Generated from ../data/13JUL2013/000.dat
time v v_c
22.955 1.87733 2
22.96 1.87003 2
22.965 1.87776 2
22.97 1.87034 2
22.975 1.87799 2
22.98 1.8808 2
22.985 1.88286 2
22.99 1.87406 2
22.995 1.8807 2
23 1.88277 2
23.005 1.87401 2
23.01 1.88064 2
23.015 1.87246 2
23.02 1.87952 2
23.025 1.87164 2
23.03 1.87892 2
23.035 1.87121 2
23.04 1.8786 2
23.045 1.88126 2
23.05 1.87289 2
23.055 1.87985 2
23.06 1.87186 2
23.065 1.8791 2
23.07 1.87132 2
23.075 1.86842 2
23.08 1.87657 2
23.085 1.87978 2
23.09 1.8821 2
23.095 1.88381 2
23.1 1.88504 2
23.105 1.87566 2
23.11 1.88185 2
23.115 1.88363 2
23.12 1.8849 2
23.125 1.88585 2
23.13 1.88652 2
23.135 1.88703 2
23.14 1.88738 2
23.145 1.88766 2
23.15 1.88784 2
23.155 1.88799 2
23.16 1.88808 2
23.165 1.89845 2
23.17 1.89296 2
23.175 1.89172 2
23.18 1.8908 2
23.185 1.89015 2
23.19 1.88965 2
23.195 1.8996 2
23.2 1.90408 2
23.205 1.90736 2
23.21 1.89945 2
23.215 1.90673 2
23.22 1.89899 2
23.225 1.9064 2
23.23 1.89875 2
23.235 1.89594 2
23.24 1.90416 2
23.245 1.90742 2
23.25 1.92006 2
23.255 1.91626 2
23.26 1.91621 2
23.265 1.9162 2
23.27 1.91617 2
23.275 1.91617 2
23.28 1.91615 2
23.285 1.90587 2
23.29 1.90111 2
23.295 1.90794 2
23.3 1.91016 2
23.305 1.91179 2
23.31 1.91296 2
23.315 1.91383 2
23.32 1.91444 2
23.325 1.9252 2
23.33 1.91998 2
23.335 1.90866 2
23.34 1.90314 2
23.345 1.89914 2
23.35 1.90649 2
23.355 1.89883 2
23.36 1.90626 2
23.365 1.89867 2
23.37 1.90615 2
23.375 1.90887 2
23.38 1.91083 2
23.385 1.91228 2
23.39 1.90303 2
23.395 1.89906 2
23.4 1.90643 2
23.405 1.89879 2
23.41 1.90623 2
23.415 1.90893 2
23.42 1.90059 2
23.425 1.90757 2
23.43 1.92017 2
23.435 1.91634 2
23.44 1.91627 2
23.445 1.90596 2
23.45 1.91146 2
23.455 1.91273 2
23.46 1.91365 2
23.465 1.91433 2
23.47 1.90452 2
23.475 1.91043 2
23.48 1.91197 2
23.485 1.91311 2
23.49 1.91392 2
23.495 1.90424 2
23.5 1.91021 2
23.505 1.91183 2
23.51 1.9027 2
23.515 1.9091 2
23.52 1.90072 2
23.525 1.89737 2
23.53 1.9052 2
23.535 1.89789 2
23.54 1.90558 2
23.545 1.89817 2
23.55 1.8955 2
23.555 1.90386 2
23.56 1.90718 2
23.565 1.90962 2
23.57 1.91138 2
23.575 1.90239 2
23.58 1.90886 2
23.585 1.91084 2
23.59 1.91227 2
23.595 1.91333 2
23.6 1.90379 2
23.605 1.9099 2
23.61 1.91158 2
23.615 1.92311 2
23.62 1.91846 2
23.625 1.91784 2
23.63 1.91737 2
23.635 1.91704 2
23.64 1.92707 2
23.645 1.92136 2
23.65 1.91993 2
23.655 1.90862 2
23.66 1.9134 2
23.665 1.91415 2
23.67 1.91468 2
23.675 1.91508 2
23.68 1.91536 2
23.685 1.91558 2
23.69 1.91572 2
23.695 1.91584 2
23.7 1.91591 2
23.705 1.90569 2
23.71 1.90098 2
23.715 1.90785 2
23.72 1.91009 2
23.725 1.91174 2
23.73 1.91292 2
23.735 1.90352 2
23.74 1.90967 2
23.745 1.91143 2
23.75 1.9127 2
23.755 1.91363 2
23.76 1.90401 2
23.765 1.91005 2
23.77 1.91169 2
23.775 1.90262 2
23.78 1.90902 2
23.785 1.91096 2
23.79 1.91235 2
23.795 1.91338 2
23.8 1.9244 2
23.805 1.91941 2
23.81 1.91851 2
23.815 1.90758 2
23.82 1.91264 2
23.825 1.91359 2
23.83 1.91427 2
23.835 1.91478 2
23.84 1.90485 2
23.845 1.91067 2
23.85 1.91214 2
23.855 1.92352 2
23.86 1.91876 2
23.865 1.91806 2
23.87 1.91752 2
23.875 1.91716 2
23.88 1.91687 2
23.885 1.91668 2
23.89 1.91652 2
23.895 1.91642 2
23.9 1.91634 2
23.905 1.91629 2
23.91 1.92652 2
23.915 1.92097 2
23.92 1.91964 2
23.925 1.9187 2
23.93 1.91799 2
23.935 1.92778 2
23.94 1.93215 2
23.945 1.92506 2
23.95 1.92263 2
23.955 1.92087 2
23.96 1.91958 2
23.965 1.92894 2
23.97 1.9227 2
23.975 1.92093 2
23.98 1.91962 2
23.985 1.91868 2
23.99 1.91798 2
23.995 1.92777 2
24 1.92186 2
24.005 1.92031 2
24.01 1.91917 2
24.015 1.91835 2
24.02 1.92803 2
24.025 1.93235 2
24.03 1.92519 2
24.035 1.92274 2
24.04 1.92094 2
24.045 1.91964 2
24.05 1.92896 2
24.055 1.93303 2
24.06 1.92569 2
24.065 1.93339 2
24.07 1.92595 2
24.075 1.93358 2
24.08 1.93637 2
24.085 1.93843 2
24.09 1.92962 2
24.095 1.93625 2
24.1 1.92803 2
24.105 1.9351 2
24.11 1.93748 2
24.115 1.93923 2
24.12 1.9302 2
24.125 1.93668 2
24.13 1.93863 2
24.135 1.94007 2
24.14 1.9411 2
24.145 1.94187 2
24.15 1.93213 2
24.155 1.93808 2
24.16 1.92937 2
24.165 1.93607 2
24.17 1.93819 2
24.175 1.93975 2
24.18 1.94087 2
24.185 1.9417 2
24.19 1.94229 2
24.195 1.94274 2
24.2 1.94304 2
24.205 1.94329 2
24.21 1.94344 2
24.215 1.94358 2
24.22 1.94366 2
24.225 1.93346 2
24.23 1.93903 2
24.235 1.94037 2
24.24 1.94132 2
24.245 1.94204 2
24.25 1.94254 2
24.255 1.95321 2
24.26 1.94793 2
24.265 1.94685 2
24.27 1.94604 2
24.275 1.94548 2
24.28 1.94504 2
24.285 1.94475 2
24.29 1.94451 2
24.295 1.94436 2
24.3 1.94423 2
24.305 1.94415 2
24.31 1.94407 2
24.315 1.94404 2
24.32 1.95428 2
24.325 1.94872 2
