# Generated from ../data/13JUL2013/000.dat
time v v_c
32.26 1.96829 2
32.28 1.95999 2
32.3 1.95463 2
32.32 1.95513 2
32.34 1.95778 2
32.36 1.9663 2
32.38 1.95166 2
32.4 1.97184 2
32.42 1.97172 2
32.44 1.97168 2
32.46 1.96821 2
32.48 1.97667 2
32.5 1.96962 2
32.52 1.97455 2
32.54 1.97248 2
32.56 1.97441 2
32.58 1.96992 2
32.6 1.97369 2
32.62 1.96972 2
32.64 1.97364 2
32.66 1.98251 2
32.68 1.97618 2
32.7 1.98322 2
32.72 1.96357 2
32.74 1.98073 2
32.76 1.96287 2
32.78 1.98054 2
32.8 1.9731 2
32.82 1.9871 2
32.84 1.97495 2
32.86 1.98762 2
32.88 1.9751 2
32.9 1.97738 2
32.92 1.97328 2
32.94 1.97687 2
32.96 1.96838 2
32.98 1.97074 2
33 1.96794 2
33.02 1.96715 2
33.04 1.96441 2
33.06 1.95932 2
33.08 1.96672 2
33.1 1.95999 2
33.12 1.96944 2
33.14 1.95601 2
33.16 1.96832 2
33.18 1.96252 2
33.2 1.96909 2
33.22 1.96496 2
33.24 1.96978 2
33.26 1.96862 2
33.28 1.96052 2
33.3 1.96707 2
33.32 1.95534 2
33.34 1.96338 2
33.36 1.96113 2
33.38 1.9687 2
33.4 1.96737 2
33.42 1.97046 2
33.44 1.96881 2
33.46 1.97338 2
33.48 1.97216 2
33.5 1.97434 2
33.52 1.98272 2
33.54 1.9797 2
33.56 1.97646 2
33.58 1.97553 2
33.6 1.98556 2
33.62 1.9805 2
33.64 1.97163 2
33.66 1.97418 2
33.68 1.97489 2
33.7 1.97855 2
33.72 1.98389 2
33.74 1.98002 2
33.76 1.97654 2
33.78 1.97902 2
33.8 1.97374 2
33.82 1.97823 2
33.84 1.97351 2
33.86 1.97816 2
33.88 1.9735 2
33.9 1.97816 2
33.92 1.97349 2
33.94 1.98291 2
33.96 1.97829 2
33.98 1.97951 2
34 1.97388 2
34.02 1.97827 2
34.04 1.97007 2
34.06 1.97122 2
34.08 1.96902 2
34.1 1.97344 2
34.12 1.96965 2
34.14 1.96081 2
34.16 1.97996 2
34.18 1.96265 2
34.2 1.98048 2
34.22 1.97309 2
34.24 1.97681 2
34.26 1.97312 2
34.28 1.97682 2
34.3 1.96837 2
34.32 1.97549 2
34.34 1.97274 2
34.36 1.97197 2
34.38 1.96829 2
34.4 1.97417 2
34.42 1.96891 2
34.44 1.97089 2
34.46 1.97145 2
34.48 1.97413 2
34.5 1.96984 2
34.52 1.97367 2
34.54 1.97223 2
34.56 1.97434 2
34.58 1.98271 2
34.6 1.97371 2
34.62 1.98253 2
34.64 1.97618 2
34.66 1.98322 2
34.68 1.98667 2
34.7 1.98512 2
34.72 1.97691 2
34.74 1.98343 2
34.76 1.97644 2
34.78 1.9833 2
34.8 1.97986 2
34.82 1.98678 2
34.84 1.98084 2
34.86 1.98705 2
34.88 1.98092 2
34.9 1.97773 2
34.92 1.97935 2
34.94 1.97729 2
34.96 1.98398 2
34.98 1.98334 2
35 1.99344 2
35.02 1.98494 2
35.04 1.98361 2
35.06 1.99006 2
35.08 1.98053 2
35.1 1.96942 2
35.12 1.97578 2
35.14 1.97282 2
35.16 1.96725 2
35.18 1.96696 2
35.2 1.96006 2
35.22 1.96348 2
35.24 1.96684 2
35.26 1.96779 2
35.28 1.96029 2
35.3 1.98456 2
35.32 1.97423 2
35.34 1.98266 2
35.36 1.98995 2
35.38 1.9933 2
35.4 2.00798 2
35.42 2.00553 2
35.44 2.00115 2
35.46 2.00338 2
35.48 2.00652 2
35.5 2.00143 2
35.52 2.00475 2
35.54 2.00093 2
35.56 2.00332 2
35.58 2.00873 2
35.6 2.0068 2
35.62 2.00626 2
35.64 2.00136 2
35.66 1.98242 2
35.68 1.98973 2
35.7 1.98296 2
35.72 1.98988 2
35.74 1.992 2
35.76 1.99734 2
35.78 1.9628 2
35.8 1.98528 2
35.82 1.98043 2
35.84 1.97414 2
35.86 1.99339 2
35.88 2.00119 2
35.9 1.9849 2
35.92 1.97885 2
35.94 1.97967 2
35.96 1.96794 2
35.98 1.97408 2
36 1.96206 2
36.02 1.94901 2
36.04 1.95562 2
36.06 1.93585 2
36.08 1.92168 2
36.1 1.92496 2
36.12 1.92113 2
36.14 1.91754 2
36.16 1.91307 2
36.18 1.90023 2
36.2 1.91271 2
36.22 1.91768 2
36.24 1.91656 2
36.26 1.93726 2
36.28 1.94203 2
36.3 1.93056 2
36.32 1.95624 2
36.34 1.95704 2
36.36 1.95234 2
36.38 1.96254 2
36.4 1.9691 2
36.42 1.95245 2
36.44 1.95357 2
36.46 1.94662 2
36.48 1.94466 2
36.5 1.92656 2
36.52 1.92504 2
36.54 1.92338 2
36.56 1.91817 2
36.58 1.92951 2
36.6 1.92704 2
36.62 1.92949 2
36.64 1.93386 2
36.66 1.93078 2
36.68 1.93054 2
36.7 1.92387 2
36.72 1.93457 2
36.74 1.93055 2
36.76 1.93416 2
36.78 1.93641 2
36.8 1.93581 2
36.82 1.93435 2
36.84 1.92272 2
36.86 1.92273 2
36.88 1.92827 2
36.9 1.91374 2
36.92 1.92366 2
36.94 1.9358 1
36.96 1.90686 1
36.98 1.89609 1
37 1.89053 1
37.02 1.85421 1
37.04 1.82381 1
37.06 1.81285 1
37.08 1.77847 1
37.1 1.74515 1
37.12 1.72833 1
37.14 1.6923 1
37.16 1.66326 1
37.18 1.65615 1
37.2 1.62967 1
37.22 1.59975 1
37.24 1.58764 1
37.26 1.55293 1
37.28 1.52427 1
37.3 1.52408 1
37.32 1.50196 1
37.34 1.48952 1
37.36 1.46293 1
37.38 1.44936 1
37.4 1.43733 1
37.42 1.42114 1
37.44 1.39915 1
37.46 1.38121 1
37.48 1.36995 1
37.5 1.35858 1
37.52 1.32883 1
37.54 1.32257 1
37.56 1.31483 1
37.58 1.30064 1
37.6 1.2829 1
37.62 1.26867 1
37.64 1.25975 1
37.66 1.24903 1
37.68 1.23191 1
37.7 1.21441 1
37.72 1.21055 1
37.74 1.20126 1
37.76 1.19864 1
37.78 1.19287 1
37.8 1.17749 1
37.82 1.15919 1
37.84 1.15258 1
37.86 1.15755 1
37.88 1.14285 1
37.9 1.13157 1
37.92 1.1366 1
37.94 1.13204 1
37.96 1.11824 1
37.98 1.11289 1
38 1.09635 1
38.02 1.10779 1
38.04 1.09146 1
38.06 1.0854 1
38.08 1.10471 1
38.1 1.0988 1
38.12 1.08748 1
38.14 1.08429 1
38.16 1.0731 1
38.18 1.06029 1
38.2 1.05668 1
38.22 1.05566 1
38.24 1.05537 1
38.26 1.05529 1
38.28 1.05527 1
38.3 1.05526 1
38.32 1.05526 1
38.34 1.04497 1
38.36 1.03241 1
38.38 1.02887 1
38.4 1.02788 1
38.42 1.00911 1
38.44 1.0174 1
38.46 1.02465 1
38.48 1.02669 1
38.5 1.01223 1
38.52 1.02425 1
38.54 1.02658 1
38.56 1.00622 1
38.58 1.00155 1
38.6 1.00844 1
38.62 1.00217 1
38.64 1.00041 1
38.66 0.999913 1
38.68 0.999773 1
38.7 0.993756 1
38.72 0.983006 1
38.74 0.990096 1
38.76 0.986722 1
38.78 0.986395 1
38.8 0.977474 1
38.82 0.991996 1
38.84 0.976533 1
38.86 0.973239 1
38.88 0.972312 1
38.9 0.97457 1
38.92 0.972686 1
38.94 0.972156 1
38.96 0.975465 1
38.98 0.972939 1
39 0.972227 1
39.02 0.976773 1
39.04 0.973307 1
39.06 0.969811 1
39.08 0.971346 1
39.1 0.971779 1
39.12 0.965923 1
39.14 0.970251 1
39.16 0.97147 1
39.18 0.965836 1
39.2 0.970227 1
39.22 0.971463 1
39.24 0.965834 1
39.26 0.965479 1
39.28 0.95984 1
39.3 0.963622 1
39.32 0.964856 1
39.34 0.959665 1
39.36 0.967031 1
39.38 0.970563 1
39.4 0.961272 1
39.42 0.967484 1
39.44 0.970691 1
39.46 0.961308 1
39.48 0.967494 1
39.5 0.970694 1
39.52 0.961309 1
39.54 0.967494 1
39.56 0.970694 1
39.58 0.956562 1
39.6 0.966157 1
39.62 0.966859 1
39.64 0.952024 1
39.66 0.954593 1
39.68 0.965603 1
39.7 0.949151 1
39.72 0.951556 1
39.74 0.956981 1
39.76 0.962817 1
39.78 0.964629 1
39.8 0.951396 1
39.82 0.954416 1
39.84 0.951809 1
39.86 0.946327 1
39.88 0.944784 1
39.9 0.946868 1
39.92 0.949683 1
39.94 0.945726 1
39.96 0.944609 1
39.98 0.944294 1
40 0.944206 1
