# Generated from ../data/13JUL2013/000.dat
time T_rw T_rw_desired T_s T_s_desired
26.4 -2.28063 -2.28063 0.30407 0.30407
26.42 -4.22491 -4.22491 0.330206 0.330206
26.44 -3.08378 -3.08378 0.168451 0.168451
26.46 -2.92071 -2.92071 0.116539 0.116539
26.48 -4.78133 -4.78133 0.227698 0.227698
26.5 -4.77275 -4.77275 0.306125 0.306125
26.52 -5.14592 -5.14592 0.216203 0.216203
26.54 -6.78104 -6.78104 0.037668 0.037668
26.56 -4.022 -4.022 0.350542 0.350542
26.58 -4.71745 -4.71745 0.403449 0.403449
26.6 -3.59971 -3.59971 0.0708368 0.0708368
26.62 -3.0688 -3.0688 0.0218187 0.0218187
26.64 -2.58914 -2.58914 0.315718 0.315718
26.66 -4.317 -4.317 0.146943 0.146943
26.68 -3.49003 -3.49003 -0.0252681 -0.0252681
26.7 -4.94675 -4.94675 0.213089 0.213089
26.72 -3.66841 -3.66841 0.164635 0.164635
26.74 -4.998 -4.998 0.0897113 0.0897113
26.76 -3.68386 -3.68386 0.132768 0.132768
26.78 -5.71003 -5.71003 0.192139 0.192139
26.8 -3.88555 -3.88555 0.119685 0.119685
26.82 -5.06129 -5.06129 0.0910356 0.0910356
26.84 -5.23496 -5.23496 0.0485479 0.0485479
26.86 -5.28446 -5.28446 0.209605 0.209605
26.88 -2.5463 -2.5463 0.25385 0.25385
26.9 -4.68601 -4.68601 0.0872553 0.0872553
26.92 -2.89332 -2.89332 0.0483175 0.0483175
26.94 -4.0779 -4.0779 0.122758 0.122758
26.96 -2.7228 -2.7228 0.14701 0.14701
26.98 -4.73788 -4.73788 0.131365 0.131365
27 -4.44061 -4.44061 0.176662 0.176662
27.02 -5.06408 -5.06408 0.166038 0.166038
27.04 -3.00241 -3.00241 0.256668 0.256668
27.06 -5.5246 -5.5246 0.224447 0.224447
27.08 -3.13287 -3.13287 0.0705706 0.0705706
27.1 -4.14901 -4.14901 0.140426 0.140426
27.12 -4.27758 -4.27758 0.229438 0.229438
27.14 -5.72762 -5.72762 0.108175 0.108175
