# Generated from ../data/13JUL2013/000.dat
freq T_rw T_rw_desired T_s T_s_desired
37.962 198.833 364.037 1 1
38.0619 101.745 191.345 1 1
38.1618 191.807 335.016 1 1
38.2617 114.886 194.777 1 1
38.3616 311.381 561.366 1 1
38.4615 119.119 284.251 1 1
38.5614 105.819 206.973 1 1
38.6613 290.676 531.095 1 1
38.7612 151.577 275.687 1 1
38.8611 138.547 272.54 1 1
38.961 291.361 515.919 1 1
39.0609 217.854 362.69 1 1
39.1608 116.957 209.237 1 1
39.2607 99.7656 184.195 1 1
39.3606 67.9993 138.999 1 1
39.4605 558.377 1042.98 1 1
39.5604 50.5773 107.289 1 1
39.6603 166.9 306.041 1 1
39.7602 100.655 204.646 1 1
39.8601 77.5579 133.684 1 1
39.96 294.628 571.676 1 1
40.0599 89.7951 167.705 1 1
40.1598 131.058 246.729 1 1
40.2597 85.6821 159.292 1 1
40.3596 191.098 348.282 1 1
40.4595 198.148 358.044 1 1
40.5594 134.204 256.053 1 1
40.6593 152.619 285.995 1 1
40.7592 96.4639 179.254 1 1
40.8591 99.5632 189.538 1 1
40.959 214.908 417.115 1 1
41.0589 80.1383 156.524 1 1
41.1588 71.5204 133.36 1 1
41.2587 132.852 248.397 1 1
41.3586 102.196 187.199 1 1
41.4585 36.1925 66.5751 1 1
41.5584 96.0803 174.35 1 1
41.6583 85.8571 156.026 1 1
41.7582 64.0033 118.406 1 1
41.8581 152.873 284.894 1 1
41.958 115.257 219.091 1 1
42.0579 243.63 463.062 1 1
42.1578 94.5024 179.485 1 1
42.2577 76.8629 144.862 1 1
42.3576 472.575 872.666 1 1
42.4575 86.5613 159.634 1 1
42.5574 116.154 213.564 1 1
42.6573 72.3124 131.846 1 1
42.7572 487.899 904.418 1 1
42.8571 55.4587 102.835 1 1
42.957 70.8045 132.32 1 1
43.0569 83.0334 158.822 1 1
43.1568 93.8679 168.871 1 1
43.2567 1681.68 3115.17 1 1
43.3566 154.934 286.46 1 1
43.4565 138.912 266.083 1 1
43.5564 91.194 162.194 1 1
43.6563 302.191 530.908 1 1
43.7562 247.159 431.176 1 1
43.8561 203.423 391.039 1 1
43.956 173.358 316.485 1 1
44.0559 148.702 270.011 1 1
44.1558 51.1803 98.3271 1 1
44.2557 81.224 165.132 1 1
44.3556 70.644 141.855 1 1
44.4555 81.6033 149.614 1 1
44.5554 85.0608 155.946 1 1
44.6553 159.481 263.986 1 1
44.7552 56.9393 104.976 1 1
44.8551 80.5848 138.793 1 1
44.955 228.05 446.188 1 1
45.0549 160.318 321.19 1 1
45.1548 193.482 356.607 1 1
45.2547 43.9739 92.1064 1 1
45.3546 128.904 239.986 1 1
45.4545 142.415 278.385 1 1
45.5544 271.381 501.756 1 1
45.6543 100.799 182.935 1 1
45.7542 119.27 233.315 1 1
45.8541 212.814 438.375 1 1
45.954 116.656 218.102 1 1
46.0539 114.62 214.6 1 1
46.1538 151.847 302.667 1 1
46.2537 90.9135 179.228 1 1
46.3536 164.226 303.383 1 1
46.4535 60.9211 113.442 1 1
46.5534 138.623 262.879 1 1
46.6533 153.002 264.94 1 1
46.7532 54.5851 108.183 1 1
46.8531 159.913 298.432 1 1
46.953 64.0241 124.26 1 1
47.0529 50.0165 87.9085 1 1
47.1528 49.2707 85.8587 1 1
47.2527 45.5776 84.938 1 1
47.3526 86.11 149.387 1 1
47.4525 54.1546 116.945 1 1
47.5524 61.3001 109.265 1 1
47.6523 72.9047 146.992 1 1
47.7522 39.5443 80.3595 1 1
47.8521 47.8274 95.7597 1 1
47.952 57.0886 106.449 1 1
48.0519 77.9754 142.299 1 1
48.1518 84.9225 145.329 1 1
48.2517 37.5111 80.5196 1 1
48.3516 34.6122 78.0855 1 1
48.4515 119.757 210.415 1 1
48.5514 50.188 103.99 1 1
48.6513 65.2831 110.339 1 1
48.7512 65.9507 112.497 1 1
48.8511 63.8099 126.601 1 1
48.951 79.1503 131.925 1 1
49.0509 39.0051 69.7686 1 1
49.1508 31.548 55.6038 1 1
49.2507 82.9646 130.418 1 1
49.3506 51.2765 88.0819 1 1
49.4505 85.5134 144.605 1 1
49.5504 29.4258 58.547 1 1
49.6503 91.9257 175.232 1 1
49.7502 346.303 631.579 1 1
49.8501 58.9376 111.925 1 1
49.95 97.5272 165.812 1 1
50.0499 56.8707 106.881 1 1
50.1498 59.0396 104.364 1 1
50.2497 161.65 276.964 1 1
50.3496 33.0911 70.9979 1 1
50.4495 87.6534 140.379 1 1
50.5494 65.0447 122.077 1 1
50.6493 210.874 358.536 1 1
50.7492 75.6705 136.387 1 1
50.8491 158.766 314.591 1 1
50.949 94.4782 174.453 1 1
51.0489 54.9861 110.664 1 1
51.1488 130.426 234.585 1 1
51.2487 92.9618 177.658 1 1
51.3486 118.221 230.235 1 1
51.4485 127.683 233.029 1 1
51.5484 121.782 235.602 1 1
51.6483 136.531 241.701 1 1
51.7482 113.138 201.441 1 1
51.8481 51.6107 95.0597 1 1
51.948 187.041 338.42 1 1
52.0479 104.887 195.66 1 1
52.1478 82.8129 156.375 1 1
52.2477 82.4713 162.421 1 1
52.3476 101.817 203.328 1 1
52.4475 149.957 292.341 1 1
52.5474 79.1351 149.919 1 1
52.6473 221.451 412.649 1 1
52.7472 74.9652 137.225 1 1
52.8471 64.324 117.323 1 1
52.947 69.6965 124.038 1 1
53.0469 67.5075 121.974 1 1
53.1468 197.156 357.069 1 1
53.2467 190.108 354.598 1 1
53.3466 98.239 182.181 1 1
53.4465 112.479 210.547 1 1
53.5464 119.454 227.065 1 1
53.6463 81.8477 159.013 1 1
53.7462 271.736 499.604 1 1
53.8462 68.1194 130.071 1 1
53.9461 69.543 128.721 1 1
54.046 119.764 206.889 1 1
54.1459 459.982 805.785 1 1
54.2458 74.8644 131.611 1 1
54.3457 93.8232 173.861 1 1
54.4456 35.2881 74.0081 1 1
54.5455 164.614 304.965 1 1
54.6454 90.9272 160.898 1 1
54.7453 153.025 298.681 1 1
54.8452 153.129 258.806 1 1
54.9451 93.0768 154.669 1 1
55.045 54.5762 115.323 1 1
55.1449 85.035 150.763 1 1
55.2448 387.707 624.105 1 1
55.3447 141.995 265.154 1 1
55.4446 98.2559 197.753 1 1
55.5445 52.3815 104.053 1 1
55.6444 61.3828 114.945 1 1
55.7443 190.666 477.837 1 1
55.8442 201.82 350.257 1 1
55.9441 182.809 295.057 1 1
