# Generated from ../data/13JUL2013/000.dat
time steer steer_est v v_c
29.24 -0.0245044 -0.023058 1.94074 2
29.26 -0.0251327 -0.0233691 1.94301 2
29.28 -0.0254469 -0.0236932 1.94019 2
29.3 -0.0254469 -0.0238974 1.94285 2
29.32 -0.0254469 -0.0240357 1.9436 2
29.34 -0.0251327 -0.0235934 1.93907 2
29.36 -0.0254469 -0.0230968 1.94002 2
29.38 -0.0254469 -0.023002 1.9428 2
29.4 -0.0248186 -0.0226057 1.94359 2
29.42 -0.0238761 -0.0216586 1.94381 2
29.44 -0.0235619 -0.0210699 1.95762 2
29.46 -0.0232478 -0.0207682 1.9595 2
29.48 -0.0232478 -0.020188 1.95198 2
29.5 -0.0229336 -0.0197084 1.95092 2
29.52 -0.0219911 -0.0191448 1.95185 2
29.54 -0.0213628 -0.0183273 1.94614 2
29.56 -0.0204204 -0.0174521 1.95733 2
29.58 -0.019792 -0.0165726 1.95388 2
29.6 -0.0191637 -0.0155144 1.95146 2
29.62 -0.0182212 -0.0143751 1.94948 2
29.64 -0.0169646 -0.0130984 1.95145 2
29.66 -0.0153938 -0.0115158 1.94854 2
29.68 -0.0141372 -0.00996969 1.95247 2
29.7 -0.0131947 -0.00889549 1.96134 2
29.72 -0.0122522 -0.00812576 1.95121 2
29.74 -0.0113097 -0.00748499 1.94941 2
29.76 -0.0103673 -0.0066098 1.94797 2
29.78 -0.00942478 -0.00543852 1.9626 2
29.8 -0.00879646 -0.00435743 1.95839 2
29.82 -0.00753982 -0.0031303 1.95512 2
29.84 -0.00596903 -0.00155473 1.95526 2
29.86 -0.00408407 0.000220994 1.95308 2
29.88 -0.00251327 0.00189685 1.96275 2
29.9 -0.0015708 0.00326269 1.96095 2
29.92 -0.000628319 0.00420942 1.96519 2
29.94 0.000314159 0.00487196 1.96386 2
29.96 0.00188496 0.00572791 1.95666 2
29.98 0.00282743 0.00660447 1.9557 2
30 0.00314159 0.00703802 1.9532 2
