# Generated from ../data/13JUL2013/024.dat
time T_s gyro_x steer steer_rate v
25.44 -2.28938 -0.0462369 -0.103673 0.403959 0.955181
25.46 0.754855 0.091834 -0.0939336 0.454424 0.965771
25.48 4.51059 0.108507 -0.0750841 0.75339 0.970211
25.5 1.42975 -0.0492498 -0.0521504 1.05919 0.956428
25.52 -2.58817 -0.0356873 -0.037385 0.839183 0.968641
25.54 3.22624 0.0723162 -0.0185354 1.01254 0.971019
25.56 4.51059 0.00470106 0.00125664 1.03432 0.953198
25.58 -2.42443 -0.123388 0.0241903 1.00318 0.957445
25.6 -1.52081 -0.00384847 0.0436681 0.934624 0.966408
25.62 4.51059 0.0642547 0.065031 1.05289 0.94938
25.64 1.7009 -0.100338 0.0904779 1.24645 0.95637
25.66 -4.29236 -0.115851 0.108071 0.959339 0.958339
25.68 0.669562 0.0268663 0.118438 0.626206 0.963202
25.7 4.51059 -0.000638284 0.138544 0.885042 0.96474
25.72 -2.58851 -0.184891 0.162106 1.08086 0.959634
25.74 -4.51059 -0.13422 0.171531 0.653165 0.963567
25.76 2.63582 0.0415108 0.173102 0.260906 0.96959
25.78 2.99385 -0.0791337 0.186925 0.554028 0.961
25.8 -4.51059 -0.191176 0.193522 0.358348 0.96741
25.82 -4.51059 -0.0431332 0.193522 0.0418558 0.970672
25.84 3.9164 0.0333173 0.19415 0.140944 0.971591
25.86 -1.50674 -0.1973 0.197292 0.176035 0.969331
25.88 -4.51059 -0.197083 0.189124 -0.196349 0.975961
25.9 -1.46931 0.0298765 0.171531 -0.742897 0.973081
25.92 3.7748 0.0150281 0.165562 -0.432609 0.97227
25.94 -4.51059 -0.205045 0.152996 -0.690769 0.982327
25.96 -4.51059 -0.073211 0.140429 -0.713267 0.973812
25.98 1.68902 0.0683424 0.11781 -0.975416 0.972475
26 1.15211 -0.0805692 0.106186 -0.735791 0.972099
