# Generated from ../data/13JUL2013/007.dat
time T_s gyro_x steer v
23.33 -0.00674811 -0.0197885 -0.00471239 3.93948
23.335 -0.00967854 -0.0184668 -0.00502655 3.94053
23.34 -0.00996155 -0.0181363 -0.00534071 3.94129
23.345 0.00699157 -0.0159681 -0.00534071 3.94185
23.35 0.0635763 -0.00947516 -0.00565487 3.94226
23.355 0.151193 -0.00278257 -0.00565487 3.94255
23.36 0.233539 0.000238131 -0.00565487 3.94277
23.365 0.273175 -0.00209065 -0.00565487 3.94292
23.37 0.300024 -0.00181373 -0.00565487 3.94304
23.375 0.339111 0.00156991 -0.00565487 3.94312
23.38 0.308405 -0.00626966 -0.00565487 3.95347
23.385 0.22082 -0.0149509 -0.00565487 3.94797
23.39 0.189204 -0.0103328 -0.00565487 3.94672
23.395 0.0990885 -0.0198611 -0.00565487 3.95609
23.4 0.0730763 -0.0144595 -0.00565487 3.96017
23.405 -0.0219454 -0.0252887 -0.00565487 3.95285
23.41 -0.00600445 -0.013628 -0.00596903 3.96056
23.415 0.0326273 -0.0099968 -0.00596903 3.96342
23.42 0.0356292 -0.0136288 -0.00596903 3.96551
23.425 0.0828524 -0.00722777 -0.00596903 3.95675
23.43 0.16176 -0.00108121 -0.00596903 3.96339
23.435 0.220171 -0.000340798 -0.00596903 3.9552
23.44 0.249547 -0.00195067 -0.00596903 3.96227
23.445 0.263423 -0.00236401 -0.00596903 3.95438
23.45 0.245116 -0.00648662 -0.00565487 3.96167
23.455 0.217498 -0.00804384 -0.00565487 3.95395
23.46 0.245226 -0.00122929 -0.00565487 3.96136
23.465 0.189 -0.0114901 -0.00565487 3.95372
23.47 0.146904 -0.0117599 -0.00565487 3.96119
23.475 0.129026 -0.0101782 -0.00534071 3.9536
23.48 0.0706886 -0.0167985 -0.00534071 3.9611
23.485 0.0568385 -0.012838 -0.00534071 3.95353
23.49 0.0977713 -0.00582283 -0.00534071 3.95077
23.495 0.1275 -0.00577952 -0.00534071 3.94875
23.5 0.175842 -0.00167779 -0.00565487 3.95757
23.505 0.154368 -0.00925648 -0.00565487 3.95096
23.51 0.190216 -0.00191862 -0.00565487 3.94889
23.515 0.266361 0.00549763 -0.00565487 3.94739
23.52 0.357614 0.0110074 -0.00565487 3.95657
23.525 0.327853 -0.00201986 -0.00534071 3.95024
