# Generated from ../data/13JUL2013/000.dat
time hw_button steer steer_est v v_c
29.7 1 -0.0131947 -0.00889549 1.96134 2
29.72 1 -0.0122522 -0.00812576 1.95121 2
29.74 1 -0.0113097 -0.00748499 1.94941 2
29.76 1 -0.0103673 -0.0066098 1.94797 2
29.78 1 -0.00942478 -0.00543852 1.9626 2
29.8 1 -0.00879646 -0.00435743 1.95839 2
29.82 1 -0.00753982 -0.0031303 1.95512 2
29.84 1 -0.00596903 -0.00155473 1.95526 2
29.86 1 -0.00408407 0.000220994 1.95308 2
29.88 1 -0.00251327 0.00189685 1.96275 2
29.9 1 -0.0015708 0.00326269 1.96095 2
29.92 1 -0.000628319 0.00420942 1.96519 2
29.94 1 0.000314159 0.00487196 1.96386 2
29.96 1 0.00188496 0.00572791 1.95666 2
29.98 1 0.00282743 0.00660447 1.9557 2
30 1 0.00314159 0.00703802 1.9532 2
