# Generated from ../data/13JUL2013/000.dat
time steer steer_est v v_c
23.685 0.000314159 0.00212132 1.91558 2
23.69 0.000314159 0.00210521 1.91572 2
23.695 0.000314159 0.00208783 1.91584 2
23.7 0.000314159 0.00204307 1.91591 2
23.705 0.000314159 0.00203924 1.90569 2
23.71 0.000314159 0.00199237 1.90098 2
23.715 0.000314159 0.0020236 1.90785 2
23.72 0.000628319 0.00210755 1.91009 2
23.725 0.000942478 0.00223637 1.91174 2
23.73 0.000942478 0.00239123 1.91292 2
23.735 0.000942478 0.00250359 1.90352 2
23.74 0.000942478 0.00262135 1.90967 2
23.745 0.00125664 0.00274643 1.91143 2
23.75 0.00125664 0.00284007 1.9127 2
23.755 0.000942478 0.00278891 1.91363 2
23.76 0.000942478 0.00271527 1.90401 2
23.765 0.000942478 0.00263696 1.91005 2
23.77 0.000628319 0.00247018 1.91169 2
23.775 0.000628319 0.00232116 1.90262 2
23.78 0.000628319 0.00219231 1.90902 2
23.785 0.000628319 0.00210341 1.91096 2
23.79 0.000628319 0.0020798 1.91235 2
23.795 0.000628319 0.00206561 1.91338 2
23.8 0.000628319 0.00210345 1.9244 2
23.805 0.000942478 0.00222358 1.91941 2
23.81 0.000942478 0.00232816 1.91851 2
23.815 0.000942478 0.00239928 1.90758 2
23.82 0.000942478 0.00247351 1.91264 2
23.825 0.000628319 0.00245165 1.91359 2
23.83 0.000628319 0.00239566 1.91427 2
23.835 0.000628319 0.00236871 1.91478 2
23.84 0.000628319 0.00231082 1.90485 2
23.845 0.000628319 0.00228515 1.91067 2
23.85 0.000628319 0.00228132 1.91214 2
23.855 0.000628319 0.00232284 1.92352 2
23.86 0.000628319 0.00237393 1.91876 2
23.865 0.000628319 0.00245049 1.91806 2
23.87 0.000628319 0.00253783 1.91752 2
23.875 0.000628319 0.00262538 1.91716 2
23.88 0.000628319 0.00268282 1.91687 2
23.885 0.000628319 0.00273331 1.91668 2
23.89 0.000628319 0.00273306 1.91652 2
23.895 0.000628319 0.00271745 1.91642 2
23.9 0.000628319 0.00266014 1.91634 2
23.905 0.000314159 0.00255992 1.91629 2
23.91 0.000314159 0.00246207 1.92652 2
23.915 0.000314159 0.00237796 1.92097 2
23.92 0.000314159 0.00231227 1.91964 2
23.925 0.000314159 0.00225164 1.9187 2
23.93 0.000314159 0.00223028 1.91799 2
23.935 0.000628319 0.00227846 1.92778 2
23.94 0.000628319 0.00231264 1.93215 2
23.945 0.000628319 0.0023577 1.92506 2
23.95 0.000628319 0.0023889 1.92263 2
23.955 0.000628319 0.00242483 1.92087 2
23.96 0.000628319 0.00246773 1.91958 2
23.965 0.000628319 0.00253816 1.92894 2
23.97 0.000628319 0.00260641 1.9227 2
23.975 0.000628319 0.00269168 1.92093 2
23.98 0.000628319 0.00277322 1.91962 2
23.985 0.000628319 0.00287852 1.91868 2
23.99 0.000628319 0.00295919 1.91798 2
23.995 0.000314159 0.00295392 1.92777 2
24 0.000314159 0.00294168 1.92186 2
24.005 0.000314159 0.00291211 1.92031 2
24.01 0.000314159 0.00287363 1.91917 2
24.015 0.000314159 0.00282586 1.91835 2
24.02 0.000628319 0.00282457 1.92803 2
24.025 0.000628319 0.00285567 1.93235 2
24.03 0.000628319 0.0029033 1.92519 2
24.035 0.000942478 0.00302861 1.92274 2
