# Generated from ../data/13JUL2013/000.dat
time gyro_x lean_rate_est
28.48 -0.00802581 -0.0115172
28.5 -0.000567077 -0.00840236
28.52 -0.00690355 -0.0058213
28.54 -0.00790513 -0.00715033
28.56 -0.00594794 -0.0087839
28.58 -0.00196004 -0.00643033
28.6 -0.00416214 -0.00585868
28.62 -0.0116992 -0.00852314
28.64 -0.0165278 -0.0121092
28.66 0.000856721 -0.00589005
28.68 -0.00327525 -0.00351345
28.7 -0.00874124 -0.00685875
28.72 -0.00157164 -0.00604795
28.74 -0.00148417 -0.00244675
28.76 -0.00590918 -0.00513575
28.78 -0.0101955 -0.00792288
28.8 0.00380814 -0.0040156
28.82 -0.00618306 -0.0059461
28.84 -0.00749405 -0.00673564
28.86 -0.00673681 -0.004276
28.88 -0.00165805 -0.00573216
28.9 0.00527037 -0.00208326
28.92 -0.00861252 -0.00438426
28.94 -0.00616186 -0.004183
28.96 0.00368705 -0.0035034
28.98 0.000595272 -0.00358938
29 0.000368404 0.00104496
29.02 0.00264824 0.000294235
29.04 -0.0107426 -0.00541658
29.06 0.00324154 -0.00184683
29.08 0.0064767 0.00347855
29.1 -0.0104836 -0.000524215
29.12 -0.00646717 -0.00274768
29.14 0.00929452 0.00324892
29.16 0.00590809 0.00297068
29.18 -0.000906735 -0.000676986
29.2 0.0127369 0.00445786
29.22 0.00410883 0.00424584
29.24 -0.00621129 9.18696e-05
29.26 0.00720777 0.00203334
29.28 0.00981885 0.00526451
29.3 0.00116006 0.00150628
29.32 0.014733 0.00635017
29.34 0.00915898 0.00974162
29.36 -0.000154997 0.0030857
29.38 0.018489 0.00634836
29.4 0.0140049 0.0108601
29.42 -0.00285074 0.00342919
29.44 0.00638157 0.0031446
29.46 0.0184329 0.0110917
29.48 0.00707564 0.00696269
29.5 0.0112299 0.00577868
29.52 0.0108483 0.00913141
29.54 0.0111934 0.00696859
29.56 0.014068 0.00755237
29.58 0.0138038 0.0097029
29.6 0.0167237 0.0100267
29.62 0.0121302 0.00759855
29.64 0.0148382 0.0096407
29.66 0.00842847 0.00753438
29.68 0.00738022 0.00474473
29.7 0.00718075 0.004709
29.72 0.00817639 0.00376408
29.74 0.0119808 0.00496392
29.76 0.00964238 0.00638613
29.78 0.00720675 0.00608148
29.8 0.0144776 0.00636783
29.82 0.0100937 0.00652629
29.84 0.0122895 0.00620304
29.86 0.0130584 0.00467401
29.88 0.00509493 0.00158381
29.9 -0.00504324 0.000741659
29.92 0.0104245 0.000677171
29.94 0.0108435 0.000698536
29.96 -0.0101657 -0.00248439
29.98 0.00208576 -0.00207983
30 0.00401645 -0.00290005
